,FBProphet,XGBoost,Arima_rsme_optimal,arima_AIC,Actual,LSTM,Date
1112,10439.971792441396,7654.187,7714.482642320765,7768.842685065567,7637.859863,2500.468994140625,2018-02-08
1113,10350.61111307986,8275.471,7701.526591085031,7651.024236922606,8271.839844,4009.860595703125,2018-02-09
1114,10293.144562982174,8710.869,8270.81327882086,8286.015497956194,8720.080078,2883.44140625,2018-02-10
1115,10250.231629223475,8613.264,8701.09303435214,8734.967353220127,8616.129883,2910.87744140625,2018-02-11
1116,10185.139994095927,8154.9253,8691.937451659387,8630.852367033393,8141.430176,5569.158203125,2018-02-12
1117,10150.149764198435,8913.093,8139.19348345042,8155.398278808823,8926.719727,1910.04638671875,2018-02-13
1118,10092.505756022392,8617.899,8905.045592431026,8941.934168836779,8599.919922,1309.087646484375,2018-02-14
1119,10045.760461982403,9471.766,8683.867086456517,8614.616695717721,9488.320313,2219.40283203125,2018-02-15
1120,10000.241090519545,10131.754,9448.36306582025,9504.42121257498,10135.700195,10128.8642578125,2018-02-16
1121,9981.790025254411,10214.305,10147.83446489772,10152.818296257206,10207.5,5437.962890625,2018-02-17
1122,9972.338694794204,11108.2,10291.946965220668,10224.730624544223,11123.400391,1357.411376953125,2018-02-18
1123,9934.54337470964,10555.628,11067.075434222275,11142.061551303914,10552.599609,672.2063598632812,2018-02-19
1124,9920.204138198918,11222.068,10614.211860128578,10570.370281452628,11231.799805,1466.889892578125,2018-02-20
1125,9876.22855295115,11361.97,11277.52671093374,11250.62969993333,11372.200195,3631.718994140625,2018-02-21
1126,9835.982475542654,10663.553,11333.146293311664,11391.24846368762,10660.400391,840.2800903320312,2018-02-22
1127,9789.76116023792,9942.861,10752.446691286266,10678.339499538328,9937.070313,4033.9638671875,2018-02-23
1128,9763.529950171933,10280.814,9957.108802018423,9953.876825589878,10287.700195,5064.71337890625,2018-02-24
1129,9739.49456640855,9809.692,10255.042771344455,10305.056440583288,9796.419922,7106.6845703125,2018-02-25
1130,9726.162996567458,9678.143,9888.619875384193,9813.00552757557,9669.429688,7385.7314453125,2018-02-26
1131,9730.45363318969,10395.052,9663.536060985438,9685.815645648516,10393.900391,10196.2978515625,2018-02-27
1132,9699.945135478343,10671.806,10372.25926199118,10411.422874435772,10687.200195,3893.859130859375,2018-02-28
1133,9668.777182415432,10400.044,10778.641886278952,10705.181158544336,10385.0,9855.6064453125,2018-03-01
1134,9628.102573122407,10964.098,10377.36092250698,10402.508556129344,10977.400391,4722.6591796875,2018-03-02
1135,9604.807095230051,11099.9795,10969.598042134645,10995.834100609598,11101.900391,10969.2578125,2018-03-03
1136,9582.057727738407,11492.956,11187.948182830509,11120.528070382235,11497.400391,5458.68310546875,2018-03-04
1137,9523.90840025054,11533.002,11473.212530131772,11516.643228262365,11532.400391,1588.902099609375,2018-03-05
1138,9483.685331054558,11479.453,11559.55957452162,11551.697593067278,11500.099609,9406.28125,2018-03-06
1139,9409.914430638952,10821.494,11570.474637497216,11519.346639326655,10803.900391,898.0481567382812,2018-03-07
1140,9337.634069670428,9940.201,10795.42861945433,10822.063525253749,9951.44043,9264.4052734375,2018-03-08
1141,9258.82740886233,9439.16,9994.964742013364,9968.269499753826,9414.69043,7864.1572265625,2018-03-09
1142,9201.124545767692,9337.649,9453.952594764196,9430.675328057068,9350.589844,10234.0263671875,2018-03-10
1143,9148.335461331411,8865.582,9335.748416429891,9366.473700587145,8852.780273,9764.7978515625,2018-03-11
1144,9065.04333322274,9579.989,8904.056496204586,8867.877711780462,9602.929688,9630.0,2018-03-12
